Artist,Track,Playcount,Album,Duration,Listeners,Tags,Artist URL,Track URL
Karthik,"Puyalae Puyalae (From ""Kovil"")",581,Play Back Singer Karthik Special,298000,172,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/puyalae%2bpuyalae%2b%2528from%2b%2522kovil%2522%2529
Karthik,Koti Koti,624,Yeto Vellipoyindhi Manasu,333000,171,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/koti%2bkoti
Karthik,Chulbuli Chulbuli,738,Unknown,263000,168,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/chulbuli%2bchulbuli
Karthik,Ippadi Mazhai,914,Unknown,264000,167,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/ippadi%2bmazhai
Karthik,Valu kalla Vayyari,457,Mass,333000,167,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/valu%2bkalla%2bvayyari
Karthik,Happy,889,Happy (Original Motion Picture Soundtrack),220000,166,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/happy
Karthik,Naa Manasuki,837,Unknown,0,162,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/naa%2bmanasuki
Karthik,Adatha Attamellam,650,Mounam Pesiyathe (Original Motion Picture Soundtrack),271000,159,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/adatha%2battamellam
Karthik,Jiya Se Jiya,779,Unknown,0,159,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/jiya%2bse%2bjiya
Karthik,Saradaga..Chandamaamane,728,Unknown,0,156,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/saradaga..chandamaamane
Karthik,Azhaipaya Azhaipaya,976,Unknown,254000,155,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/azhaipaya%2bazhaipaya
Karthik,Khuda Hafiz (from the film 'Yuva'),434,Unknown,0,155,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/khuda%2bhafiz%2b%2528from%2bthe%2bfilm%2b%2527yuva%2527%2529
Karthik,Eppudu,733,Unknown,285000,153,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/eppudu
Karthik,Chahoon Bhi,738,Force (Original Motion Picture Soundtrack),292000,152,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/chahoon%2bbhi
Karthik,Yenthentha Dhooram,708,Yeto Vellipoyindhi Manasu,259000,150,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/yenthentha%2bdhooram
Karthik,Manjakkaattu Maina,497,Manadhai Thirudivittai (Original Motion Picture Soundtrack) - EP,341000,147,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/manjakkaattu%2bmaina
Karthik,Hay Rey Hai,461,Okkadu (Original Motion Picture Soundtrack),305000,146,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/hay%2brey%2bhai
Karthik,Thanne Thanne,657,Unknown,0,144,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/thanne%2bthanne
Karthik,Kaalangathale,504,Venghai,0,144,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/kaalangathale
Karthik,"Behene De (From ""Raavan"")",360,Unknown,0,141,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/behene%2bde%2b%2528from%2b%2522raavan%2522%2529
Karthik,Thooriga,774,Navarasa,0,137,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/thooriga
Karthik,Swaasye,622,Ye Maaya Chesave,192000,135,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/swaasye
Karthik,Naan Aval Illai,848,Unknown,0,131,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/naan%2baval%2billai
Karthik,Nila Nila,562,Unknown,0,130,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/nila%2bnila
Karthik,Vinnaithaandi Varuvaayaa,1006,Vinnaithaandi Varuvaayaa,192000,128,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/vinnaithaandi%2bvaruvaayaa
